County,2011,2012,2013,2014,2015
Baringo,183,189,232,232,237
Bomet,146,123,136,136,150
Bungoma,136,146,171,171,189
Busia,84,84,96,96,118
Elgeyo-Marakwet,122,123,124,124,133
Embu,140,143,172,172,181
Garissa,104,111,148,148,165
Homa Bay,185,189,226,226,243
Isiolo,41,41,47,48,55
Kajiado,209,221,299,299,320
Kakamega,212,222,256,259,284
Kericho,152,190,197,198,212
Kiambu,419,439,460,470,508
Kilifi,231,230,256,256,266
Kirinyaga,240,238,241,241,252
Kisii,162,130,160,161,170
Kisumu,145,157,187,188,208
Kitui,276,309,390,395,421
Kwale,93,98,111,111,126
Laikipia,85,91,115,115,125
Lamu,44,45,45,45,47
Machakos,275,288,343,345,380
Makueni,182,189,226,228,292
Mandera,70,71,84,84,94
Marsabit,91,95,114,114,116
Meru,408,385,458,458,466
Migori,181,183,211,212,230
Mombasa,345,359,315,315,324
Muranga,244,248,280,280,288
Nairobi,505,562,947,950,957
Nakuru,317,348,421,422,445
Nandi,166,172,202,204,205
Narok,150,153,163,163,182
Nyamira,102,141,134,134,143
Nyandarua,127,127,140,141,160
Nyeri,383,386,441,441,457
Samburu,69,69,78,78,97
Siaya,157,165,174,174,183
Taita Taveta,81,83,91,91,93
Tana River,58,58,65,65,68
Tharaka Nithi,28,98,127,127,133
Totals,8006,8375,9919,9959,10690
Trans-Nzoia,84,90,151,151,155
Turkana,137,141,154,158,226
Uasin Gishu,169,169,187,188,197
Vihiga,77,80,90,91,99
Wajir,104,109,136,136,158
West Pokot,87,87,118,118,132
