Orgunit ID,Data ID,Orgunit name,Data,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct,21-Nov,21-Dec,Max Z score,Max modified Z score,Gap weight,Outlier weight,Total weight
KGHhQ5GLd4k,KmLPBDUi48L,Bungoma County,TB Defaulters,,,1,,,,,,8,2,,,1.14,4.05,18,7,25
uyOrcHZBpW0,KmLPBDUi48L,Garissa County,TB Defaulters,3,,,,,,,,,,,,0,0,33,0,33
Hsk1YV8kHkT,KmLPBDUi48L,Kajiado County,TB Defaulters,,,,,,,,1,,,,,0,0,11,0,11
BjC1xL40gHo,KmLPBDUi48L,Kakamega County,TB Defaulters,,3,,4,2,4,3,1,3,2,8,1,2.42,3.37,6,5,11
ihZsJ8alvtb,KmLPBDUi48L,Kericho County,TB Defaulters,,,,,,,2,,,1,,1,1.15,0,9,0,9
qKzosKQPl6G,KmLPBDUi48L,Kiambu County,TB Defaulters,,,4,,1,,,,,,1,,1.15,0,9,0,9
nrI2khZx3d0,KmLPBDUi48L,Kilifi County,TB Defaulters,1,1,1,2,,3,3,2,,2,3,,1.15,0.67,6,0,6
tAbBVBbueqD,KmLPBDUi48L,Kisumu County,TB Defaulters,,,,2,,,,,1,1,1,,1.5,0,8,0,8
yhCUgGcCcOo,KmLPBDUi48L,Machakos County,TB Defaulters,,,,,,,,,,7,,,0,0,77,0,77
R6f9znhg37c,KmLPBDUi48L,Mandera County,TB Defaulters,,,,,,,,,,1,1,1,0,0,9,0,9
Eey8fT4Im3y,KmLPBDUi48L,Marsabit County,TB Defaulters,,,7,,,,,,,1,,,0.71,0.67,40,0,40
wsBsC6gjHvn,KmLPBDUi48L,Mombasa County,TB Defaulters,,,,1,,,,,,2,2,3,1.22,1.35,16,0,16
jkG3zaihdSs,KmLPBDUi48L,Nairobi County,TB Defaulters,2,11,1,1,,1,,,4,2,1,3,2.52,6.07,6,9,15
ob6SxuRcqU4,KmLPBDUi48L,Nakuru County,TB Defaulters,5,,,1,1,,2,3,,,,1,1.77,4.72,9,3,12
u4t9H8XyU9P,KmLPBDUi48L,Siaya County,TB Defaulters,,,,,,,2,,,,1,2,1.15,0,18,0,18
T4urHM47nlm,KmLPBDUi48L,Tharaka Nithi County,TB Defaulters,,,,,1,,1,,,,,,0,0,10,0,10
kphDeKClFch,KmLPBDUi48L,Turkana County,TB Defaulters,,,,,,10,7,8,8,,22,1,1.83,6.3,48,15,63
KGHhQ5GLd4k,aTBJvDJQAF0,Bungoma County,TB deaths,,3,,,,1,1,3,,2,,3,1.19,2.02,15,0,15
Hsk1YV8kHkT,aTBJvDJQAF0,Kajiado County,TB deaths,,1,,,,,,1,,,,1,0,0,9,0,9
BjC1xL40gHo,aTBJvDJQAF0,Kakamega County,TB deaths,,2,6,,1,1,1,2,7,3,2,2,2.04,3.37,4,5,9
ihZsJ8alvtb,aTBJvDJQAF0,Kericho County,TB deaths,,,,,,,,,,1,,,0,0,11,0,11
qKzosKQPl6G,aTBJvDJQAF0,Kiambu County,TB deaths,2,,,,1,,,,,,,,0.71,0.67,15,0,15
nrI2khZx3d0,aTBJvDJQAF0,Kilifi County,TB deaths,7,1,3,4,,7,3,6,,2,8,8,1.5,1.35,10,0,10
tAbBVBbueqD,aTBJvDJQAF0,Kisumu County,TB deaths,,,1,,5,,,,,,,,0.71,0.67,30,0,30
j8o6iO4Njsi,aTBJvDJQAF0,Kitui County,TB deaths,,,1,,,,,,,,,,0,0,11,0,11
yhCUgGcCcOo,aTBJvDJQAF0,Machakos County,TB deaths,,,,,,,,,,1,,,0,0,11,0,11
R6f9znhg37c,aTBJvDJQAF0,Mandera County,TB deaths,1,1,1,,,,,,1,,,1,0,0,7,0,7
Eey8fT4Im3y,aTBJvDJQAF0,Marsabit County,TB deaths,,3,,1,,,,,,1,,,1.15,0,9,0,9
wsBsC6gjHvn,aTBJvDJQAF0,Mombasa County,TB deaths,,,,2,,,,,,2,,1,1.15,0,18,0,18
jkG3zaihdSs,aTBJvDJQAF0,Nairobi County,TB deaths,5,,7,1,,1,2,,5,2,4,8,1.6,1.35,12,0,12
